"region","instanceType","price"
"apac-tokyo","i2.xlarge","0.213"
"apac-tokyo","i2.2xlarge","0.270"
"apac-tokyo","i2.4xlarge","0.270"
"apac-tokyo","i2.8xlarge","0.270"
"apac-tokyo","d2.xlarge","0.173"
"apac-tokyo","d2.2xlarge","0.270"
"apac-tokyo","d2.4xlarge","0.270"
"apac-tokyo","d2.8xlarge","0.270"
"apac-tokyo","hi1.4xlarge","0.270"
"apac-tokyo","hs1.8xlarge","0.270"
"apac-syd","m3.xlarge","0.070"
"apac-syd","m3.2xlarge","0.140"
"apac-syd","m1.small","0.011"
"apac-syd","m1.medium","0.022"
"apac-syd","m1.large","0.044"
"apac-syd","m1.xlarge","0.088"
"apac-syd","c1.medium","0.030"
"apac-syd","c1.xlarge","0.120"
"apac-syd","r3.xlarge","0.090"
"apac-syd","r3.2xlarge","0.180"
"apac-syd","r3.4xlarge","0.270"
"apac-syd","r3.8xlarge","0.270"
"apac-syd","m2.xlarge","0.062"
"apac-syd","m2.2xlarge","0.123"
"apac-syd","m2.4xlarge","0.246"
"apac-syd","i2.xlarge","0.213"
"apac-syd","i2.2xlarge","0.270"
"apac-syd","i2.4xlarge","0.270"
"apac-syd","i2.8xlarge","0.270"
"apac-syd","d2.xlarge","0.173"
"apac-syd","d2.2xlarge","0.270"
"apac-syd","d2.4xlarge","0.270"
"apac-syd","d2.8xlarge","0.270"
"apac-syd","hs1.8xlarge","0.270"
"sa-east-1","m3.xlarge","0.070"
"sa-east-1","m3.2xlarge","0.140"
"sa-east-1","m1.small","0.011"
"sa-east-1","m1.medium","0.022"
"sa-east-1","m1.large","0.044"
"sa-east-1","m1.xlarge","0.088"
"sa-east-1","c1.medium","0.030"
"sa-east-1","c1.xlarge","0.120"
"sa-east-1","m2.xlarge","0.062"
"sa-east-1","m2.2xlarge","0.123"
"sa-east-1","m2.4xlarge","0.246"
"us-gov-west-1","m3.xlarge","0.084"
"us-gov-west-1","m3.2xlarge","0.168"
"us-gov-west-1","m1.small","0.014"
"us-gov-west-1","m1.medium","0.027"
"us-gov-west-1","m1.large","0.053"
"us-gov-west-1","m1.xlarge","0.106"
"us-gov-west-1","c3.xlarge","0.063"
"us-gov-west-1","c3.2xlarge","0.126"
"us-gov-west-1","c3.4xlarge","0.252"
"us-gov-west-1","c3.8xlarge","0.270"
"us-gov-west-1","c1.medium","0.040"
"us-gov-west-1","c1.xlarge","0.157"
"us-gov-west-1","cc2.8xlarge","0.270"
"us-gov-west-1","r3.xlarge","0.105"
"us-gov-west-1","r3.2xlarge","0.210"
"us-gov-west-1","r3.4xlarge","0.270"
"us-gov-west-1","r3.8xlarge","0.270"
"us-gov-west-1","m2.xlarge","0.074"
"us-gov-west-1","m2.2xlarge","0.147"
"us-gov-west-1","m2.4xlarge","0.270"
"us-gov-west-1","i2.xlarge","0.256"
"us-gov-west-1","i2.2xlarge","0.270"
"us-gov-west-1","i2.4xlarge","0.270"
"us-gov-west-1","i2.8xlarge","0.270"
"us-gov-west-1","hs1.8xlarge","0.270"
